q1, q2, concentration
2.629242203781482212e-01 2.629242203781482212e-01 0.000000000000000000e+00
2.673776964832259573e-01 2.673776964832259573e-01 0.000000000000000000e+00
2.718254685409192684e-01 2.718254685409192684e-01 0.000000000000000000e+00
2.762674416655929166e-01 2.762674416655929166e-01 0.000000000000000000e+00
2.807035210953220394e-01 2.807035210953220394e-01 0.000000000000000000e+00
2.851336121939137547e-01 2.851336121939137547e-01 0.000000000000000000e+00
2.895576204529259901e-01 2.895576204529259901e-01 0.000000000000000000e+00
2.939754514936835927e-01 2.939754514936835927e-01 0.000000000000000000e+00
2.983870110692919408e-01 2.983870110692919408e-01 0.000000000000000000e+00
3.027922050666473908e-01 3.027922050666473908e-01 0.000000000000000000e+00
3.071909395084451710e-01 3.071909395084451710e-01 0.000000000000000000e+00
3.115831205551838345e-01 3.115831205551838345e-01 0.000000000000000000e+00
3.159686545071678232e-01 3.159686545071678232e-01 0.000000000000000000e+00
3.203474478065056474e-01 3.203474478065056474e-01 0.000000000000000000e+00
3.247194070391064558e-01 3.247194070391064558e-01 0.000000000000000000e+00
3.290844389366723299e-01 3.290844389366723299e-01 0.000000000000000000e+00
3.334424503786884153e-01 3.334424503786884153e-01 0.000000000000000000e+00
3.377933483944091653e-01 3.377933483944091653e-01 0.000000000000000000e+00
3.421370401648419768e-01 3.421370401648419768e-01 0.000000000000000000e+00
3.464734330247271066e-01 3.464734330247271066e-01 0.000000000000000000e+00
3.508024344645147008e-01 3.508024344645147008e-01 0.000000000000000000e+00
3.551239521323382720e-01 3.551239521323382720e-01 0.000000000000000000e+00
3.594378938359846787e-01 3.594378938359846787e-01 0.000000000000000000e+00
3.637441675448613299e-01 3.637441675448613299e-01 0.000000000000000000e+00
3.680426813919590034e-01 3.680426813919590034e-01 0.000000000000000000e+00
3.723333436758119452e-01 3.723333436758119452e-01 0.000000000000000000e+00
3.766160628624542484e-01 3.766160628624542484e-01 0.000000000000000000e+00
3.808907475873723469e-01 3.808907475873723469e-01 0.000000000000000000e+00
3.851573066574541793e-01 3.851573066574541793e-01 0.000000000000000000e+00
3.894156490529347980e-01 3.894156490529347980e-01 0.000000000000000000e+00
3.936656839293378729e-01 3.936656839293378729e-01 0.000000000000000000e+00
3.979073206194139178e-01 3.979073206194139178e-01 0.000000000000000000e+00
4.021404686350744107e-01 4.021404686350744107e-01 0.000000000000000000e+00
4.063650376693222488e-01 4.063650376693222488e-01 0.000000000000000000e+00
4.105809375981782083e-01 4.105809375981782083e-01 0.000000000000000000e+00
4.147880784826037392e-01 4.147880784826037392e-01 0.000000000000000000e+00
4.189863705704195418e-01 4.189863705704195418e-01 0.000000000000000000e+00
4.231757242982202571e-01 4.231757242982202571e-01 0.000000000000000000e+00
4.273560502932853278e-01 4.273560502932853278e-01 0.000000000000000000e+00
4.315272593754852504e-01 4.315272593754852504e-01 0.000000000000000000e+00
4.356892625591846091e-01 4.356892625591846091e-01 0.000000000000000000e+00
4.398419710551399464e-01 4.398419710551399464e-01 0.000000000000000000e+00
4.439852962723941920e-01 4.439852962723941920e-01 0.000000000000000000e+00
4.481191498201664847e-01 4.481191498201664847e-01 0.000000000000000000e+00
4.522434435097379413e-01 4.522434435097379413e-01 0.000000000000000000e+00
4.563580893563329854e-01 4.563580893563329854e-01 0.000000000000000000e+00
4.604629995809961795e-01 4.604629995809961795e-01 0.000000000000000000e+00
4.645580866124651154e-01 4.645580866124651154e-01 0.000000000000000000e+00
4.686432630890384199e-01 4.686432630890384199e-01 0.000000000000000000e+00
4.727184418604395977e-01 4.727184418604395977e-01 0.000000000000000000e+00
4.767835359896759884e-01 4.767835359896759884e-01 0.000000000000000000e+00
4.808384587548937827e-01 4.808384587548937827e-01 0.000000000000000000e+00
4.848831236512276543e-01 4.848831236512276543e-01 0.000000000000000000e+00
4.889174443926466163e-01 4.889174443926466163e-01 0.000000000000000000e+00
4.929413349137944933e-01 4.929413349137944933e-01 0.000000000000000000e+00
4.969547093718261199e-01 4.969547093718261199e-01 0.000000000000000000e+00
5.009574821482386531e-01 5.009574821482386531e-01 0.000000000000000000e+00
5.049495678506978891e-01 5.049495678506978891e-01 0.000000000000000000e+00
5.089308813148603061e-01 5.089308813148603061e-01 0.000000000000000000e+00
5.129013376061897223e-01 5.129013376061897223e-01 0.000000000000000000e+00
5.168608520217691238e-01 5.168608520217691238e-01 0.000000000000000000e+00
5.208093400921077754e-01 5.208093400921077754e-01 0.000000000000000000e+00
5.247467175829433339e-01 5.247467175829433339e-01 0.000000000000000000e+00
5.286729004970386336e-01 5.286729004970386336e-01 0.000000000000000000e+00
5.325878050759736970e-01 5.325878050759736970e-01 0.000000000000000000e+00
5.364913478019327497e-01 5.364913478019327497e-01 0.000000000000000000e+00
5.403834453994855735e-01 5.403834453994855735e-01 0.000000000000000000e+00
5.442640148373643072e-01 5.442640148373643072e-01 0.000000000000000000e+00
5.481329733302350293e-01 5.481329733302350293e-01 0.000000000000000000e+00
5.519902383404631241e-01 5.519902383404631241e-01 0.000000000000000000e+00
5.558357275798746500e-01 5.558357275798746500e-01 0.000000000000000000e+00
5.596693590115117134e-01 5.596693590115117134e-01 0.000000000000000000e+00
5.634910508513825134e-01 5.634910508513825134e-01 0.000000000000000000e+00
5.673007215702060568e-01 5.673007215702060568e-01 0.000000000000000000e+00
5.710982898951514342e-01 5.710982898951514342e-01 0.000000000000000000e+00
5.748836748115718764e-01 5.748836748115718764e-01 0.000000000000000000e+00
5.786567955647327066e-01 5.786567955647327066e-01 0.000000000000000000e+00
5.824175716615341836e-01 5.824175716615341836e-01 0.000000000000000000e+00
5.861659228722289061e-01 5.861659228722289061e-01 0.000000000000000000e+00
5.899017692321332218e-01 5.899017692321332218e-01 0.000000000000000000e+00
5.936250310433331956e-01 5.936250310433331956e-01 0.000000000000000000e+00
5.973356288763846944e-01 5.973356288763846944e-01 0.000000000000000000e+00
6.010334835720079205e-01 6.010334835720079205e-01 0.000000000000000000e+00
6.047185162427763938e-01 6.047185162427763938e-01 0.000000000000000000e+00
6.083906482747994948e-01 6.083906482747994948e-01 0.000000000000000000e+00
6.120498013293999007e-01 6.120498013293999007e-01 0.000000000000000000e+00
6.156958973447844707e-01 6.156958973447844707e-01 0.000000000000000000e+00
6.193288585377098032e-01 6.193288585377098032e-01 0.000000000000000000e+00
6.229486074051416855e-01 6.229486074051416855e-01 0.000000000000000000e+00
6.265550667259081052e-01 6.265550667259081052e-01 0.000000000000000000e+00
6.301481595623470433e-01 6.301481595623470433e-01 0.000000000000000000e+00
6.337278092619476055e-01 6.337278092619476055e-01 0.000000000000000000e+00
6.372939394589852702e-01 6.372939394589852702e-01 0.000000000000000000e+00
6.408464740761510292e-01 6.408464740761510292e-01 0.000000000000000000e+00
6.443853373261745343e-01 6.443853373261745343e-01 0.000000000000000000e+00
6.479104537134406927e-01 6.479104537134406927e-01 0.000000000000000000e+00
6.514217480356002676e-01 6.514217480356002676e-01 0.000000000000000000e+00
6.549191453851741507e-01 6.549191453851741507e-01 0.000000000000000000e+00
6.584025711511515278e-01 6.584025711511515278e-01 0.000000000000000000e+00
6.618719510205814949e-01 6.618719510205814949e-01 0.000000000000000000e+00
6.653272109801585676e-01 6.653272109801585676e-01 0.000000000000000000e+00
6.687682773178010853e-01 6.687682773178010853e-01 0.000000000000000000e+00
6.721950766242245079e-01 6.721950766242245079e-01 0.000000000000000000e+00
6.756075357945069415e-01 6.756075357945069415e-01 0.000000000000000000e+00
6.790055820296487799e-01 6.790055820296487799e-01 0.000000000000000000e+00
6.823891428381257951e-01 6.823891428381257951e-01 0.000000000000000000e+00
6.857581460374359006e-01 6.857581460374359006e-01 0.000000000000000000e+00
6.891125197556385862e-01 6.891125197556385862e-01 0.000000000000000000e+00
6.924521924328882472e-01 6.924521924328882472e-01 0.000000000000000000e+00
6.957770928229612961e-01 6.957770928229612961e-01 0.000000000000000000e+00
6.990871499947753920e-01 6.990871499947753920e-01 0.000000000000000000e+00
7.023822933339032293e-01 7.023822933339032293e-01 0.000000000000000000e+00
7.056624525440783335e-01 7.056624525440783335e-01 0.000000000000000000e+00
7.089275576486954167e-01 7.089275576486954167e-01 0.000000000000000000e+00
7.121775389923026278e-01 7.121775389923026278e-01 0.000000000000000000e+00
7.154123272420881419e-01 7.154123272420881419e-01 0.000000000000000000e+00
7.186318533893583105e-01 7.186318533893583105e-01 0.000000000000000000e+00
7.218360487510110390e-01 7.218360487510110390e-01 0.000000000000000000e+00
7.250248449710000598e-01 7.250248449710000598e-01 0.000000000000000000e+00
7.281981740217935428e-01 7.281981740217935428e-01 0.000000000000000000e+00
7.313559682058254907e-01 7.313559682058254907e-01 0.000000000000000000e+00
7.344981601569398055e-01 7.344981601569398055e-01 0.000000000000000000e+00
7.376246828418271395e-01 7.376246828418271395e-01 0.000000000000000000e+00
7.407354695614556395e-01 7.407354695614556395e-01 0.000000000000000000e+00
7.438304539524932535e-01 7.438304539524932535e-01 0.000000000000000000e+00
7.469095699887237094e-01 7.469095699887237094e-01 0.000000000000000000e+00
7.499727519824549438e-01 7.499727519824549438e-01 0.000000000000000000e+00
7.530199345859205362e-01 7.530199345859205362e-01 0.000000000000000000e+00
7.560510527926740387e-01 7.560510527926740387e-01 0.000000000000000000e+00
7.590660419389750890e-01 7.590660419389750890e-01 0.000000000000000000e+00
7.620648377051698619e-01 7.620648377051698619e-01 0.000000000000000000e+00
7.650473761170621945e-01 7.650473761170621945e-01 0.000000000000000000e+00
7.680135935472790498e-01 7.680135935472790498e-01 0.000000000000000000e+00
7.709634267166279864e-01 7.709634267166279864e-01 0.000000000000000000e+00
7.738968126954464122e-01 7.738968126954464122e-01 0.000000000000000000e+00
7.768136889049447324e-01 7.768136889049447324e-01 0.000000000000000000e+00
7.797139931185410600e-01 7.797139931185410600e-01 0.000000000000000000e+00
7.825976634631889306e-01 7.825976634631889306e-01 0.000000000000000000e+00
7.854646384206970255e-01 7.854646384206970255e-01 0.000000000000000000e+00
7.883148568290415659e-01 7.883148568290415659e-01 0.000000000000000000e+00
7.911482578836713797e-01 7.911482578836713797e-01 0.000000000000000000e+00
7.939647811388046428e-01 7.939647811388046428e-01 0.000000000000000000e+00
7.967643665087187355e-01 7.967643665087187355e-01 0.000000000000000000e+00
7.995469542690319953e-01 7.995469542690319953e-01 0.000000000000000000e+00
8.023124850579778089e-01 8.023124850579778089e-01 0.000000000000000000e+00
8.050608998776707104e-01 8.050608998776707104e-01 0.000000000000000000e+00
8.077921400953655962e-01 8.077921400953655962e-01 0.000000000000000000e+00
8.105061474447080583e-01 8.105061474447080583e-01 0.000000000000000000e+00
8.132028640269775011e-01 8.132028640269775011e-01 0.000000000000000000e+00
8.158822323123225972e-01 8.158822323123225972e-01 0.000000000000000000e+00
8.185441951409879735e-01 8.185441951409879735e-01 0.000000000000000000e+00
8.211886957245344565e-01 8.211886957245344565e-01 0.000000000000000000e+00
8.238156776470498821e-01 8.238156776470498821e-01 0.000000000000000000e+00
8.264250848663526883e-01 8.264250848663526883e-01 0.000000000000000000e+00
8.290168617151879582e-01 8.290168617151879582e-01 0.000000000000000000e+00
8.315909529024144708e-01 8.315909529024144708e-01 0.000000000000000000e+00
8.341473035141846459e-01 8.341473035141846459e-01 0.000000000000000000e+00
8.366858590151156072e-01 8.366858590151156072e-01 0.000000000000000000e+00
8.392065652494530292e-01 8.392065652494530292e-01 0.000000000000000000e+00
8.417093684422261024e-01 8.417093684422261024e-01 0.000000000000000000e+00
8.441942152003949484e-01 8.441942152003949484e-01 0.000000000000000000e+00
8.466610525139898202e-01 8.466610525139898202e-01 0.000000000000000000e+00
8.491098277572413089e-01 8.491098277572413089e-01 0.000000000000000000e+00
8.515404886897040004e-01 8.515404886897040004e-01 0.000000000000000000e+00
8.539529834573701406e-01 8.539529834573701406e-01 0.000000000000000000e+00
8.563472605937759718e-01 8.563472605937759718e-01 0.000000000000000000e+00
8.587232690211002994e-01 8.587232690211002994e-01 0.000000000000000000e+00
8.610809580512533978e-01 8.610809580512533978e-01 0.000000000000000000e+00
8.634202773869587011e-01 8.634202773869587011e-01 0.000000000000000000e+00
8.657411771228257225e-01 8.657411771228257225e-01 0.000000000000000000e+00
8.680436077464147582e-01 8.680436077464147582e-01 0.000000000000000000e+00
8.703275201392932647e-01 8.703275201392932647e-01 0.000000000000000000e+00
8.725928655780834653e-01 8.725928655780834653e-01 0.000000000000000000e+00
8.748395957355017405e-01 8.748395957355017405e-01 0.000000000000000000e+00
8.770676626813902477e-01 8.770676626813902477e-01 0.000000000000000000e+00
8.792770188837383261e-01 8.792770188837383261e-01 0.000000000000000000e+00
8.814676172096976847e-01 8.814676172096976847e-01 0.000000000000000000e+00
8.836394109265870433e-01 8.836394109265870433e-01 0.000000000000000000e+00
8.857923537028894456e-01 8.857923537028894456e-01 0.000000000000000000e+00
8.879263996092406908e-01 8.879263996092406908e-01 0.000000000000000000e+00
8.900415031194089943e-01 8.900415031194089943e-01 0.000000000000000000e+00
8.921376191112663223e-01 8.921376191112663223e-01 0.000000000000000000e+00
8.942147028677511766e-01 8.942147028677511766e-01 0.000000000000000000e+00
8.962727100778220546e-01 8.962727100778220546e-01 0.000000000000000000e+00
8.983115968374031368e-01 8.983115968374031368e-01 0.000000000000000000e+00
9.003313196503210936e-01 9.003313196503210936e-01 0.000000000000000000e+00
9.023318354292323429e-01 9.023318354292323429e-01 0.000000000000000000e+00
9.043131014965428704e-01 9.043131014965428704e-01 0.000000000000000000e+00
9.062750755853183904e-01 9.062750755853183904e-01 0.000000000000000000e+00
9.082177158401860684e-01 9.082177158401860684e-01 0.000000000000000000e+00
9.101409808182273631e-01 9.101409808182273631e-01 0.000000000000000000e+00
9.120448294898626518e-01 9.120448294898626518e-01 0.000000000000000000e+00
9.139292212397254200e-01 9.139292212397254200e-01 0.000000000000000000e+00
9.157941158675301230e-01 9.157941158675301230e-01 0.000000000000000000e+00
9.176394735889286114e-01 9.176394735889286114e-01 0.000000000000000000e+00
9.194652550363595633e-01 9.194652550363595633e-01 0.000000000000000000e+00
9.212714212598879238e-01 9.212714212598879238e-01 0.000000000000000000e+00
9.230579337280361285e-01 9.230579337280361285e-01 0.000000000000000000e+00
9.248247543286058914e-01 9.248247543286058914e-01 0.000000000000000000e+00
9.265718453694915535e-01 9.265718453694915535e-01 0.000000000000000000e+00
9.282991695794836629e-01 9.282991695794836629e-01 0.000000000000000000e+00
9.300066901090647820e-01 9.300066901090647820e-01 0.000000000000000000e+00
9.316943705311948598e-01 9.316943705311948598e-01 0.000000000000000000e+00
9.333621748420889430e-01 9.333621748420889430e-01 0.000000000000000000e+00
9.350100674619850061e-01 9.350100674619850061e-01 0.000000000000000000e+00
9.366380132359030108e-01 9.366380132359030108e-01 0.000000000000000000e+00
9.382459774343948622e-01 9.382459774343948622e-01 0.000000000000000000e+00
9.398339257542851488e-01 9.398339257542851488e-01 0.000000000000000000e+00
9.414018243194035573e-01 9.414018243194035573e-01 0.000000000000000000e+00
9.429496396813066283e-01 9.429496396813066283e-01 0.000000000000000000e+00
9.444773388199919628e-01 9.444773388199919628e-01 0.000000000000000000e+00
9.459848891446027697e-01 9.459848891446027697e-01 0.000000000000000000e+00
9.474722584941224213e-01 9.474722584941224213e-01 0.000000000000000000e+00
9.489394151380612374e-01 9.489394151380612374e-01 0.000000000000000000e+00
9.503863277771332774e-01 9.503863277771332774e-01 0.000000000000000000e+00
9.518129655439235837e-01 9.518129655439235837e-01 0.000000000000000000e+00
9.532192980035473218e-01 9.532192980035473218e-01 0.000000000000000000e+00
9.546052951542987053e-01 9.546052951542987053e-01 0.000000000000000000e+00
9.559709274282911506e-01 9.559709274282911506e-01 0.000000000000000000e+00
9.573161656920877727e-01 9.573161656920877727e-01 0.000000000000000000e+00
9.586409812473233316e-01 9.586409812473233316e-01 0.000000000000000000e+00
9.599453458313164100e-01 9.599453458313164100e-01 0.000000000000000000e+00
9.612292316176718199e-01 9.612292316176718199e-01 0.000000000000000000e+00
9.624926112168749048e-01 9.624926112168749048e-01 0.000000000000000000e+00
9.637354576768754066e-01 9.637354576768754066e-01 0.000000000000000000e+00
9.649577444836626716e-01 9.649577444836626716e-01 0.000000000000000000e+00
9.661594455618311983e-01 9.661594455618311983e-01 0.000000000000000000e+00
9.673405352751369701e-01 9.673405352751369701e-01 0.000000000000000000e+00
9.685009884270440184e-01 9.685009884270440184e-01 0.000000000000000000e+00
9.696407802612626581e-01 9.696407802612626581e-01 0.000000000000000000e+00
9.707598864622768442e-01 9.707598864622768442e-01 0.000000000000000000e+00
9.718582831558634227e-01 9.718582831558634227e-01 0.000000000000000000e+00
