# control input, output
0.000000000000000000e+00,1.000000000000000056e-01
9.999833334166664464e-03,1.000000000000000056e-01
1.999866669333308020e-02,9.995000000000001106e-02
2.999550020249566046e-02,9.985104998333342585e-02
3.998933418663416089e-02,9.970422378335283553e-02
4.997916927067833082e-02,9.951061843460080880e-02
5.996400647944459539e-02,9.927135351272452224e-02
6.994284733753276806e-02,9.898757046347989030e-02
7.991469396917269541e-02,9.866043192117608662e-02
8.987854919801104014e-02,9.829112101691658832e-02
9.983341664682815475e-02,9.788084067699767687e-02
1.097783008371748109e-01,9.743081291183003367e-02
1.197122072889193617e-01,9.694227809575374499e-02
1.296341426196948587e-01,9.641649423812133357e-02
1.395431146442364934e-01,9.585473624602756926e-02
1.494381324735992167e-01,9.525829517906880817e-02
1.593182066142459774e-01,9.462847749651841223e-02
1.691823490669960295e-01,9.396660429730839537e-02
1.790295734258241789e-01,9.327401055321075940e-02
1.888588949765005742e-01,9.255204433561525779e-02
1.986693307950612164e-01,9.180206603630333695e-02
2.084598998460995556e-01,9.102544758262055835e-02
2.182296230808693227e-01,9.022357164745282987e-02
2.279775235351884088e-01,8.939783085441356525e-02
2.377026264271345779e-01,8.854962697865169374e-02
2.474039592545229371e-01,8.768037014369189919e-02
2.570805518921551180e-01,8.679147801472045232e-02
2.667314366888311472e-01,8.588437498873158216e-02
2.763556485641137650e-01,8.496049138195055361e-02
2.859522251048355335e-01,8.402126261495082571e-02
2.955202066613395462e-01,8.306812839588353925e-02
3.050586364434434983e-01,8.210253190223831821e-02
3.145665606161177630e-01,8.112591896155493809e-02
3.240430283948683710e-01,8.013973723150547013e-02
3.334870921408144007e-01,7.914543537976688470e-02
3.428978074554513977e-01,7.814446226410377838e-02
3.522742332750899430e-01,7.713826611308052805e-02
3.616154319649619864e-01,7.612829370782178695e-02
3.709204694129826785e-01,7.511598956523928006e-02
3.801884151231614273e-01,7.410279512314194017e-02
3.894183423086505225e-01,7.309014792764537138e-02
3.986093279844229453e-01,7.207948082329504458e-02
4.077604530595701493e-01,7.107222114631611687e-02
4.168708024292107628e-01,7.006978992140096285e-02
4.259394650659996118e-01,6.907360106244352094e-02
4.349655341112302342e-01,6.808506057762725439e-02
4.439481069655197842e-01,6.710556577927118127e-02
4.528862853790683318e-01,6.613650449883577698e-02
4.617791755414829002e-01,6.517925430748772175e-02
4.706258881711580244e-01,6.423518174261950986e-02
4.794255386042030054e-01,6.330564154071656457e-02
4.881772468829074785e-01,6.239197587696133224e-02
4.968801378437367466e-01,6.149551361195991495e-02
5.055333412048469421e-01,6.061756954597331132e-02
5.141359916531131891e-01,5.975944368103108806e-02
5.226872289306592201e-01,5.892242049130130138e-02
5.311861979208833962e-01,5.810776820208603949e-02
5.396320487339693051e-01,5.731673807780741231e-02
5.480239367918735560e-01,5.655056371934411019e-02
5.563610229127837759e-01,5.581046037107376123e-02
5.646424733950353714e-01,5.509762423797119613e-02
5.728674601004812850e-01,5.441323181310747659e-02
5.810351605373050843e-01,5.375843921588913804e-02
5.891447579422695036e-01,5.313438154137151148e-02
5.971954413623921099e-01,5.254217222097418843e-02
6.051864057360395455e-01,5.198290239492080883e-02
6.131168519734337963e-01,5.145764029671923145e-02
6.209859870365597168e-01,5.096743064999199879e-02
6.287930240184685937e-01,5.051329407796047860e-02
6.365371822219679787e-01,5.009622652587965297e-02
6.442176872376911279e-01,4.971719869671377412e-02
6.518337710215366121e-01,4.937715550033631301e-02
6.593846719714731019e-01,4.907701551653064626e-02
6.668696350036978915e-01,4.881767047206076598e-02
6.742879116281450536e-01,4.859998473207424036e-02
6.816387600233341226e-01,4.842479480609204051e-02
6.889214451105513115e-01,4.829290886883259859e-02
6.961352386273567117e-01,4.820510629610970377e-02
7.032794192004101497e-01,4.816213721603617576e-02
7.103532724176078172e-01,4.816472207575740044e-02
7.173560908995227914e-01,4.821355122393092274e-02
7.242871743701425613e-01,4.830928450916015943e-02
7.311458297268959017e-01,4.845255089458214842e-02
7.379313711099627637e-01,4.864394808880115328e-02
7.446431199708593018e-01,4.888404219335133749e-02
7.512804051402927064e-01,4.917336736686356291e-02
7.578425628952769610e-01,4.951242550610268633e-02
7.643289370255050841e-01,4.990168594403317226e-02
7.707388788989693040e-01,5.034158516506220121e-02
7.770717475268238417e-01,5.083252653760073764e-02
7.833269096274834142e-01,5.137488006407409796e-02
7.895037396899504678e-01,5.196898214850487197e-02
7.956016200363660307e-01,5.261513538178192589e-02
8.016199408837771934e-01,5.331360834472044508e-02
8.075581004051143319e-01,5.406463542900877273e-02
8.134155047893737445e-01,5.486841667612882972e-02
8.191915683009982629e-01,5.572511763432776849e-02
8.248857133384500662e-01,5.663486923370938259e-02
8.304973704919704769e-01,5.759776767950455095e-02
8.360259786005205251e-01,5.861387436357091280e-02
8.414709848078965049e-01,5.968321579416265704e-02
8.468318446180151948e-01,6.080578354400207469e-02
8.521080219493629704e-01,6.198153421667536300e-02
8.572989891886033664e-01,6.321038943136578214e-02
8.624042272433384282e-01,6.449223582592809867e-02
8.674232255940169667e-01,6.582692507829904227e-02
8.723554823449862772e-01,6.721427394622897511e-02
8.772005042746816583e-01,6.865406432531123704e-02
8.819578068849475150e-01,7.014604332527579755e-02
8.866269144494872689e-01,7.168992336450520642e-02
8.912073600614354163e-01,7.328538228272124533e-02
8.956986856800476238e-01,7.493206347178175963e-02
9.001004421765050889e-01,7.662957602451800354e-02
9.044121893788259481e-01,7.837749490153361753e-02
9.086334961158832879e-01,8.017536111587761360e-02
9.127639402605211005e-01,8.202268193549437647e-02
9.168031087717668504e-01,8.391893110334516792e-02
9.207505977361356564e-01,8.586354907508642054e-02
9.246060124080203169e-01,8.785594327418143334e-02
9.283689672491666212e-01,8.989548836431342227e-02
9.320390859672262884e-01,9.198152653895899644e-02
9.356160015533858676e-01,9.411336782797267986e-02
9.390993563190676019e-01,9.629029042102459079e-02
9.424888019316974841e-01,9.851154100772480104e-02
9.457839994495389480e-01,1.007763351342597091e-01
9.489846193555862008e-01,1.030838575763573933e-01
9.520903415905157541e-01,1.054332627283907919e-01
9.551008555846922654e-01,1.078236750084195505e-01
9.580158602892249187e-01,1.102541892789631328e-01
9.608350642060726754e-01,1.127238712832904222e-01
9.635581854171929583e-01,1.152317580970028260e-01
9.661849516127339887e-01,1.177768585946804836e-01
9.687151001182652266e-01,1.203581539313536841e-01
9.711483779210445810e-01,1.229745980385541365e-01
9.734845416953193942e-01,1.256251181346935419e-01
9.757233578266590879e-01,1.283086152495096499e-01
9.778646024353162547e-01,1.310239647623131221e-01
9.799080613986141941e-01,1.337700169537617001e-01
9.818535303723597840e-01,1.365455975708811942e-01
9.837008148112765804e-01,1.393495084050465627e-01
9.854497299884602546e-01,1.421805278826295538e-01
9.871001010138503728e-01,1.450374116680135661e-01
9.886517628517197398e-01,1.479188932786697219e-01
